Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Win%,RotY_Votes
Andrew Lang,C,22,PHO,62,25,8.5,1,1.9,0.5,0,0,,1,1.9,0.5,0.5,0.6,1,0.6,0.9,1.5,2.4,0.1,0.3,0.8,0.5,1.8,2.6,1989,0.671,0
Eric Leckner,C,22,UTA,75,0,10.4,1.6,2.9,0.5,0,0,,1.6,2.9,0.5,0.5,1.1,1.5,0.7,0.6,2,2.7,0.2,0.1,0.3,0.9,2.3,4.3,1989,0.622,0
Jim Les,PG,25,UTA,82,0,9.5,0.5,1.6,0.3,0,0.2,0.1,0.5,1.5,0.3,0.3,0.7,0.9,0.8,0.3,0.8,1.1,2.6,0.3,0.1,1.1,1.1,1.7,1989,0.622,0
Rob Lock,PF,22,LAC,20,0,5.5,0.4,1.6,0.3,0,0,,0.4,1.6,0.3,0.3,0.6,0.8,0.8,0.7,0.9,1.6,0.2,0.2,0.2,0.6,0.8,1.5,1989,0.256,0
Grant Long,PF,22,MIA,82,73,29.7,4.1,8.4,0.5,0,0.1,0,4.1,8.4,0.5,0.5,3.7,5,0.7,2.9,3.7,6.7,1.8,1.5,0.6,2.5,4.1,11.9,1989,0.183,0
Dan Majerle,SG,23,PHO,54,5,25.1,3.4,8,0.4,0.5,1.5,0.3,2.9,6.5,0.4,0.4,1.4,2.4,0.6,1.1,2.7,3.9,2.4,1.2,0.3,0.9,2.6,8.6,1989,0.671,0
Danny Manning,PF,22,LAC,26,18,36.5,6.8,13.8,0.5,0,0.2,0.2,6.8,13.6,0.5,0.5,3,4,0.8,2.7,3.9,6.6,3.1,1.7,1,3.6,3.4,16.7,1989,0.256,0
Vernon Maxwell,SG,23,SAS,79,36,26.1,4.5,10.5,0.4,0.4,1.6,0.2,4.1,8.8,0.5,0.5,2.3,3.1,0.7,0.6,1.9,2.6,3.8,1.1,0.1,2.3,1.7,11.7,1989,0.256,0
Todd Mitchell,SF,22,SAS,2,0,16.5,1,4.5,0.2,0,0,,1,4.5,0.2,0.2,0.5,2,0.2,0.5,1,1.5,0.5,0.5,0,2,1,2.5,1989,0.256,0
Chris Morris,SF,23,NJN,76,48,27.6,5.4,11.9,0.5,0.8,2.3,0.4,4.6,9.6,0.5,0.5,2.4,3.3,0.7,2.5,2.8,5.2,1.6,1.3,0.8,2.5,3.3,14.1,1989,0.317,0.0118
Richard Morton,PG,22,IND,2,0,5.5,1.5,2,0.8,0,0,,1.5,2,0.8,0.8,0,0,,0,0,0,0.5,0,0,0.5,1,3,1989,0.341,0
Craig Neal,PG,24,MIA,32,0,10.7,1.1,2.8,0.4,0.2,0.8,0.3,0.8,2,0.4,0.4,0.4,0.7,0.6,0.1,0.4,0.6,2.7,0.5,0.1,1.2,1.4,2.8,1989,0.183,0
Jose Ortiz,PF,25,UTA,51,15,6.4,1.1,2.5,0.4,0,0,0,1.1,2.4,0.4,0.4,0.6,1,0.6,0.6,0.5,1.1,0.2,0.2,0.1,0.7,0.8,2.8,1989,0.622,0
Will Perdue,C,23,CHI,30,0,6.3,1,2.4,0.4,0,0,,1,2.4,0.4,0.4,0.3,0.5,0.6,0.6,0.9,1.5,0.4,0.1,0.2,0.5,1.3,2.2,1989,0.573,0
Tim Perry,C,23,PHO,62,15,9.9,1.7,3.2,0.5,0,0.1,0.2,1.7,3.2,0.5,0.5,0.6,1,0.6,1,1.1,2.1,0.3,0.3,0.5,0.6,0.8,4.1,1989,0.671,0
Dave Popson,PF,24,MIA,7,0,5.4,0.7,2.1,0.3,0,0,,0.7,2.1,0.3,0.3,0.1,0.3,0.5,1,0.6,1.6,0.3,0,0.1,0.6,1.1,1.6,1989,0.183,0
Dominic Pressley,PG,24,CHI,3,0,5.7,0.3,2,0.2,0,0.7,0,0.3,1.3,0.2,0.2,0,0,,0,0.3,0.3,1.3,0,0,0,0.7,0.7,1989,0.573,0
Mitch Richmond,SG,23,GSW,79,79,34.4,8.2,17.5,0.5,0.4,1.1,0.4,7.8,16.4,0.5,0.5,5.2,6.4,0.8,2,3.9,5.9,4.2,1,0.2,3.4,2.8,22,1989,0.524,0.9412
Ramon Rivas,C,22,BOS,28,0,3.2,0.4,1.1,0.4,0,0,0,0.4,1.1,0.4,0.4,0.6,0.9,0.6,0.3,0.5,0.9,0.1,0.1,0,0.3,0.8,1.4,1989,0.512,0
David Rivers,PG,24,LAL,47,0,9.4,1,2.6,0.4,0,0.1,0.2,1,2.5,0.4,0.4,0.7,0.9,0.8,0.3,0.6,0.9,2.3,0.5,0.2,1.3,1.1,2.9,1989,0.695,0
Rob Rose,SG,24,LAC,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0.5,0.5,1,0,0,0,0,0,0,1989,0.256,0
Jim Rowinski,C,28,PHI,3,0,2.3,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0.3,0.7,1,0,0,0,0,0,1,1989,0.561,0
Rony Seikaly,C,23,MIA,78,62,25.2,4.3,9.5,0.4,0,0.1,0.2,4.3,9.5,0.4,0.4,2.3,4.5,0.5,2.6,4.4,7,0.7,0.6,1.2,2.6,3.3,10.9,1989,0.183,0
Charles Shackleford,C,22,NJN,60,0,8.1,1.4,2.8,0.5,0,0,0,1.4,2.8,0.5,0.5,0.4,0.7,0.5,0.8,1.7,2.6,0.4,0.2,0.3,0.4,1.2,3.1,1989,0.317,0
John Shasky,C,24,MIA,65,4,14.5,1.9,3.8,0.5,0,0,0,1.9,3.8,0.5,0.5,1.8,2.6,0.7,1.5,2.1,3.6,0.3,0.2,0.2,0.7,1.4,5.5,1989,0.183,0
Brian Shaw,SG,22,BOS,82,54,28.1,3.6,8.4,0.4,0,0.2,0,3.6,8.2,0.4,0.4,1.3,1.6,0.8,1.5,3.1,4.6,5.8,1,0.3,2.3,2.6,8.6,1989,0.512,0
Keith Smart,PG,24,SAS,2,0,6,0,1,0,0,0.5,0,0,0.5,0,0,1,1,1,0,0.5,0.5,1,0,0,1,0,1,1989,0.256,0
Charles Smith,PF,23,LAC,71,56,30.4,6.1,12.4,0.5,0,0,0,6.1,12.3,0.5,0.5,4,5.5,0.7,2.4,4.1,6.5,1.5,1,1.3,2.1,3.8,16.3,1989,0.256,0
Rik Smits,C,22,IND,82,71,24.9,4.7,9.1,0.5,0,0,0,4.7,9.1,0.5,0.5,2.2,3.1,0.7,2.3,3.8,6.1,0.9,0.5,1.8,1.6,3.8,11.7,1989,0.341,0
John Starks,SG,23,GSW,36,0,8.8,1.4,3.5,0.4,0.3,0.7,0.4,1.1,2.8,0.4,0.4,0.9,1.4,0.7,0.4,0.7,1.1,0.8,0.6,0.1,1.1,1,4.1,1989,0.524,0
Everette Stephens,PG,22,IND,35,0,6,0.7,2.1,0.3,0.1,0.3,0.2,0.6,1.8,0.3,0.3,0.5,0.6,0.8,0.3,0.3,0.7,1.1,0.3,0.1,0.8,0.6,1.9,1989,0.341,0
Rod Strickland,PG,22,NYK,81,10,16.8,3.3,7,0.5,0.2,0.7,0.3,3,6.3,0.5,0.5,2.1,2.9,0.7,0.6,1.3,2,3.9,1.2,0,1.8,1.8,8.9,1989,0.634,0
Barry Sumpter,PF,23,LAC,1,0,1,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,1989,0.256,0
Anthony Taylor,PG,23,MIA,21,7,17.5,2.9,7.2,0.4,0,0.1,0,2.9,7.1,0.4,0.4,1.1,1.5,0.8,0.5,1.1,1.6,2,1,0.2,1,1.8,6.9,1989,0.183,0
Tom Tolbert,SF,23,CHH,14,0,8.4,1.2,2.6,0.5,0,0.2,0,1.2,2.4,0.5,0.5,0.4,0.9,0.5,0.5,1,1.5,0.5,0.1,0.3,0.1,1.4,2.9,1989,0.5,0
Kelvin Upshaw,SG,26,BOS,23,0,20.6,3.2,6.5,0.5,0.1,0.4,0.2,3.1,6,0.5,0.5,0.6,0.9,0.7,0.3,1.3,1.6,4.2,0.8,0.1,1.8,2.7,7,1989,0.512,0
Morlon Wiley,PG,22,DAL,51,1,8,0.9,2.2,0.4,0.1,0.5,0.2,0.8,1.8,0.4,0.4,0.3,0.3,0.8,0.3,0.7,0.9,1.5,0.5,0.1,0.7,1.2,2.2,1989,0.463,0
Micheal Williams,PG,22,DET,49,0,7.3,1,2.6,0.4,0,0.2,0.2,0.9,2.4,0.4,0.4,0.6,1,0.7,0.2,0.4,0.6,1.4,0.3,0.1,0.9,0.9,2.6,1989,0.768,0
David Wood,PF,24,CHI,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,1989,0.573,0
Nick Anderson,SG,22,ORL,81,9,22,4.6,9.3,0.5,0,0.2,0.1,4.6,9.1,0.5,0.5,2.3,3.3,0.7,1.3,2.6,3.9,1.5,0.9,0.4,1.7,1.7,11.5,1990,0.22,0
