Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Name_id,Year
Marc Jackson,26,GSW,7,7,124,0.056,48,29.4,13.2,7.5,1.2,0.7,0.6,0.467,0.217,0.802,2.6,0.089,jacksma02,2001
Darius Miles,19,LAC,3,3,124,0.024,81,26.3,9.4,5.9,1.2,0.6,1.5,0.505,0.053,0.521,3,0.068,milesda01,2001
Morris Peterson,23,TOR,3,3,124,0.024,80,22.6,9.3,3.2,1.3,0.8,0.3,0.431,0.382,0.717,3.6,0.096,petermo01,2001
Pau Gasol,21,MEM,117,117,126,0.929,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121,gasolpa01,2002
Richard Jefferson,21,NJN,3,3,126,0.024,79,24.3,9.4,3.7,1.8,0.8,0.6,0.457,0.232,0.713,4.7,0.117,jefferi01,2002
Andrei Kirilenko,20,UTA,2,2,126,0.016,82,26.2,10.7,4.9,1.1,1.4,1.9,0.45,0.25,0.768,7.3,0.164,kirilan01,2002
Jason Richardson,21,GSW,2,2,126,0.016,80,32.9,14.4,4.3,3,1.3,0.4,0.426,0.333,0.671,2.9,0.052,richaja01,2002
Jamaal Tinsley,23,IND,2,2,126,0.016,80,30.5,9.4,3.7,8.1,1.7,0.5,0.38,0.24,0.704,1.7,0.033,tinslja01,2002
Amar'e Stoudemire,20,PHO,59,458,585,0.783,82,31.3,13.5,8.8,1,0.8,1.1,0.472,0.2,0.661,6.2,0.116,stoudam01,2003
Yao Ming,22,HOU,45,405,585,0.692,82,29,13.5,8.2,1.7,0.4,1.8,0.498,0.5,0.811,8.7,0.176,mingya01,2003
Caron Butler,22,MIA,13,179,585,0.306,78,36.6,15.4,5.1,2.7,1.8,0.4,0.416,0.318,0.824,5.1,0.086,butleca01,2003
Manu Ginóbili,25,SAS,0,5,585,0.009,69,20.7,7.6,2.3,2,1.4,0.2,0.438,0.345,0.737,4.2,0.141,ginobma01,2003
Drew Gooden,21,TOT,0,3,585,0.005,70,26.8,12.5,6.5,1.2,0.8,0.5,0.457,0.292,0.712,1.7,0.043,goodedr01,2003
Nenê,20,DEN,0,2,585,0.003,80,28.2,10.5,6.1,1.9,1.6,0.8,0.519,0,0.578,5,0.107,hilarne01,2003
Carlos Boozer,21,CLE,0,1,585,0.002,81,25.3,10,7.5,1.3,0.7,0.6,0.536,0,0.771,5.9,0.139,boozeca01,2003
LeBron James,19,CLE,78,508,590,0.861,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,jamesle01,2004
Carmelo Anthony,19,DEN,40,430,590,0.729,82,36.5,21,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,anthoca01,2004
Dwyane Wade,22,MIA,0,117,590,0.198,61,34.9,16.2,4,4.5,1.4,0.6,0.465,0.302,0.747,4.6,0.103,wadedw01,2004
Kirk Hinrich,23,CHI,0,4,590,0.007,76,35.6,12,3.4,6.8,1.3,0.3,0.386,0.39,0.804,4.1,0.072,hinriki01,2004
Chris Bosh,19,TOR,0,2,590,0.003,75,33.5,11.5,7.4,1,0.8,1.4,0.459,0.357,0.701,6.2,0.119,boshch01,2004
Marquis Daniels,23,DAL,0,1,590,0.002,56,18.6,8.5,2.6,2.1,0.9,0.2,0.494,0.306,0.769,3.2,0.146,daniema01,2004
Emeka Okafor,22,CHA,77,514,630,0.816,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0,0.609,4,0.074,okafoem01,2005
Ben Gordon,21,CHI,43,443,630,0.703,82,24.4,15.1,2.6,2,0.6,0.1,0.411,0.405,0.863,3.5,0.084,gordobe01,2005
Dwight Howard,19,ORL,6,161,630,0.256,82,32.6,12,10,0.9,0.9,1.7,0.52,0,0.671,7.3,0.131,howardw01,2005
Andre Iguodala,21,PHI,0,14,630,0.022,82,32.8,9,5.7,3,1.7,0.6,0.493,0.331,0.743,6.6,0.118,iguodan01,2005
Luol Deng,19,CHI,0,1,630,0.002,61,27.3,11.7,5.3,2.2,0.8,0.4,0.434,0.265,0.741,3,0.086,denglu01,2005
J.R. Smith,19,NOH,0,1,630,0.002,76,24.5,10.3,2,1.9,0.7,0.1,0.394,0.288,0.689,0.2,0.006,smithjr01,2005
Chris Paul,20,NOK,124,623,625,0.997,78,36,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.178,paulch01,2006
Charlie Villanueva,21,TOR,0,248,625,0.397,81,29.1,13,6.4,1.1,0.7,0.8,0.463,0.327,0.706,3.9,0.079,villach01,2006
Andrew Bogut,21,MIL,0,98,625,0.157,82,28.6,9.4,7,2.3,0.6,0.8,0.533,0,0.629,5.5,0.113,bogutan01,2006
Raymond Felton,21,CHA,0,79,625,0.126,80,30.1,11.9,3.3,5.6,1.3,0.1,0.391,0.358,0.725,2.6,0.051,feltora01,2006
Channing Frye,22,NYK,0,41,625,0.066,65,24.2,12.3,5.8,0.8,0.5,0.7,0.477,0.333,0.825,3.5,0.108,fryech01,2006
Deron Williams,21,UTA,1,31,625,0.05,80,28.8,10.8,2.4,4.5,0.8,0.2,0.421,0.416,0.704,2.8,0.059,willide01,2006
